"file","golden","symbols"
"fixtures/corpus/closedloop-measure-dof-3.frees","true","exp"
"fixtures/corpus/closedloop-measure-dof-4.frees","true","exp"
"fixtures/corpus/closedloop-measure-dof-5.frees","true","exp"
"fixtures/corpus/closedloop-measure-dof-6.frees","true","EXV;TwoPhaseCompressor;TwoPhaseCondenser;TwoPhaseEvaporator;TwoPhaseExpansionValve;TwoPhaseSink;TwoPhaseSource"
"fixtures/corpus/closedloop-measure-dof-7.frees","true","exp;enthalpy;TwoPhaseExpansionValve"
"fixtures/corpus/closedloop-measure-dof.frees","true","exp"
"fixtures/corpus/closedloop-rel.frees","true","exp"
"fixtures/corpus/code-parametric-log-column-spacing.frees","true",""
"fixtures/corpus/code-parametric-parses-range-and-list-columns-into-rows.frees","true",""
"fixtures/corpus/code-parametric-uneven-columns-pad-with-null-cells.frees","true",""
"fixtures/corpus/code-range-explicit-linear-flag-works.frees","true",""
"fixtures/corpus/code-range-linear-range-with-step-fills-array.frees","true",""
"fixtures/corpus/code-range-log-range-spaces-geometrically.frees","true",""
"fixtures/corpus/code-range-negative-step-counts-down.frees","true",""
"fixtures/corpus/code-range-range-array-works-with-sum.frees","true","sum"
"fixtures/corpus/code-range-two-number-form-defaults-to-step-one.frees","true",""
"fixtures/corpus/codetable-check-accepts-code-table.frees","true",""
"fixtures/corpus/codetable-clamps-outside-range.frees","true",""
"fixtures/corpus/codetable-differentiate-table-column.frees","true","differentiate"
"fixtures/corpus/codetable-interpolate-name-linear-matches-direct-call.frees","true","interpolate"
"fixtures/corpus/codetable-interpolate1-cubic-spline-through-collinear-points-is-linear.frees","true","interpolate1"
"fixtures/corpus/codetable-interpolate2-d-name-matches-curve-family.frees","true","interpolate2d"
"fixtures/corpus/codetable-log-axes-interpolate-as-power-law.frees","true",""
"fixtures/corpus/codetable-lookup-cell-and-row-count-and-row.frees","true","lookup;lookuprow;nlookuprows"
"fixtures/corpus/codetable-mixed-case-call-resolves-to-table.frees","true",""
"fixtures/corpus/codetable-negative-arguments-are-supported.frees","true",""
"fixtures/corpus/codetable-one-dimensional-table-interpolates.frees","true",""
"fixtures/corpus/codetable-table-function-participates-in-newton-solve.frees","true",""
"fixtures/corpus/codetable-two-dimensional-curve-family-interpolates.frees","true",""
"fixtures/corpus/combustion-thermo-wired-through-solver.frees","true","adiabaticflametemp;mix_mw;mix_cp;wiebe"
"fixtures/corpus/comments.frees","true",""
"fixtures/corpus/complex_components_manual.frees","true","sqrt"
"fixtures/corpus/complex_literal_default_mode.frees","true",""
"fixtures/corpus/complex_real_imag_projections.frees","true","real;imag"
"fixtures/corpus/complex_sqrt_of_negative.frees","true","sqrt"
"fixtures/corpus/component-branching-heat-exchanger-couples-two-circuits.frees","true","enthalpy;HeatExchanger"
"fixtures/corpus/component-branching-mixer-does-flow-weighted-enthalpy-balance.frees","true","Mixer"
"fixtures/corpus/component-branching-split-then-mix-closes-mass-and-energy.frees","true","Mixer;Splitter"
"fixtures/corpus/component-branching-splitter-conserves-mass-and-carries-state.frees","true","Splitter"
"fixtures/corpus/component-breadth-contact-resistance-carries-heat-by-thermal-resistance.frees","true","ContactResistance;ThermalSource"
"fixtures/corpus/component-breadth-diode-conducts-forward-and-blocks-reverse.frees","true","Diode;Ground;Resistor;VoltageSource"
"fixtures/corpus/component-breadth-translational-force-drives-mass-against-damper.frees","true","odevalue;finalvalue;minvalue;ForceSource;TransDamper;TransGround;TransMass"
"fixtures/corpus/component-connect-connect-accepts-bare-stream-names.frees","true",""
"fixtures/corpus/component-connect-connect-branches-and-remerges-through-three-port-nodes.frees","true",""
"fixtures/corpus/component-connect-connect-branches-mass-at-a-three-way-node.frees","true","Sink;Source"
"fixtures/corpus/component-connect-connect-closes-a-loop-without-over-determining.frees","true",""
"fixtures/corpus/component-connect-connect-wires-free-port-instances-in-series.frees","true",""
"fixtures/corpus/component-connect-connect-with-undeterminable-direction-at-branch-is-rejected.frees","true",""
"fixtures/corpus/component-connect-heater.frees","true",""
"fixtures/corpus/component-connect-source-and-sink-boundaries-bracket-an-open-chain.frees","true","Boiler;Sink;Source"
"fixtures/corpus/component-connections-electrical-defs.frees","true",""
"fixtures/corpus/component-connections-explicit-connects-carry-domain-and-endpoints.frees","true",""
"fixtures/corpus/component-connections-heat-nodes-classify-as-heat.frees","true",""
"fixtures/corpus/component-connections-shared-stream-junctions-surface-as-edges.frees","true",""
"fixtures/corpus/component-control-closes-the-loop-with-a-feedback-controller-in-dynamic.frees","true","odevalue;finalvalue;Conduction;ThermalMass;ThermalSource"
"fixtures/corpus/component-control-designs-lqr-from-the-linearized-plant.frees","true","lqr;Conduction;HeatSource;ThermalMass;ThermalSource"
"fixtures/corpus/component-control-pi-controller-eliminates-steady-state-error.frees","true","odevalue;finalvalue;Conduction;PIThermostat;ThermalMass;ThermalSource"
"fixtures/corpus/component-cross-domain-electrical-dissipation-flows-through-a-thermal-network-to-ambient.frees","true","Conduction;Ground;HeatingResistor;ThermalSource;VoltageSource"
"fixtures/corpus/component-cross-domain-ev-pack-self-heating-reaches-steady-temperature-above-coolant.frees","true","BatteryThermal;Conduction;Ground;Resistor;ThermalSource"
"fixtures/corpus/component-cycles-brayton-components-solve.frees","true","enthalpy;Boiler;Compressor;Turbine"
"fixtures/corpus/component-cycles-rankine-components-solve.frees","true","enthalpy;Boiler;Condenser;Pump;Turbine"
"fixtures/corpus/component-cycles-rankine-with-derived-property-boundaries-solves.frees","true","Boiler;Condenser;Pump;Turbine"
"fixtures/corpus/component-cycles-refrigeration-components-solve.frees","true","enthalpy;Compressor;Condenser;Throttle"
"fixtures/corpus/component-diagnostics-rigidly-coupled-storage-is-rejected-as-high-index.frees","true","ThermalMass"
"fixtures/corpus/component-diagnostics-underspecified-component-network-lists-the-involved-stream-members.frees","true","Boiler"
"fixtures/corpus/component-electrical-battery-drives-a-resistive-load-through-its-internal-resistance.frees","true","Battery;Ground;Resistor"
"fixtures/corpus/component-electrical-series-resistors-form-a-voltage-divider.frees","true","r2;Ground;Resistor;VoltageSource"
"fixtures/corpus/component-expansion-derived-property-resolves-on-a-fluid-stream.frees","true","Sink"
"fixtures/corpus/component-expansion-fluid-string-param-is-baked-into-property-call-names.frees","true","density"
"fixtures/corpus/component-expansion-heater-chain-shares-streams-and-conserves-mass.frees","true",""
"fixtures/corpus/component-expansion-heater-lib.frees","true",""
"fixtures/corpus/component-expansion-member-on-fluidless-stream-is-an-opaque-rider.frees","true",""
"fixtures/corpus/component-expansion-named-outputs-are-instance-namespaced-and-param-defaults-apply.frees","true",""
"fixtures/corpus/component-expansion-port-count-mismatch-is-rejected.frees","true",""
"fixtures/corpus/component-expansion-top-level-instance-and-stream-member-refs-resolve-to-same-variable.frees","true",""
"fixtures/corpus/component-expansion-unknown-parameter-override-is-rejected.frees","true",""
"fixtures/corpus/component-expansion-user-component-defaults-still-apply.frees","true",""
"fixtures/corpus/component-expansion-valve-expansion-valve-throttles-isenthalpically-at-orifice-flow.frees","true","ExpansionValve;TXV"
"fixtures/corpus/component-friction-applied-torque-balances-friction-at-steady-speed.frees","true","Friction;MechGround;TorqueSource"
"fixtures/corpus/component-fuel-cell-higher-current-lowers-voltage-and-raises-heat.frees","true","Convection;FuelCellStack;Ground;ThermalSource"
"fixtures/corpus/component-gas-mixture-mixer-blends-composition-flow-weighted.frees","true","GasMixer;GasSource"
"fixtures/corpus/component-gas-mixture-pipe-carries-composition-through.frees","true","GasPipe;GasSource"
"fixtures/corpus/component-gas-mixture-three-way-blend-conserves-species.frees","true","GasMixer;GasSource"
"fixtures/corpus/component-hierarchy-nested-subsystem-flattens-recursively.frees","true",""
"fixtures/corpus/component-hierarchy-subsystem-of-two-heaters-in-series-composes.frees","true",""
"fixtures/corpus/component-hierarchy-subsystem-parameters-flow-into-sub-instances.frees","true",""
"fixtures/corpus/component-hydraulic-cylinder-holds-load-at-supply-pressure-when-stalled.frees","true","HydraulicCylinder;HydraulicOrifice;HydraulicSupply;TransGround"
"fixtures/corpus/component-hydraulic-orifice-meters-flow-from-pressure-drop.frees","true","HydraulicOrifice;HydraulicSupply;HydraulicTank"
"fixtures/corpus/component-hydraulic-relief-valve-stays-shut-below-crack-and-opens-above.frees","true","HydraulicSupply;HydraulicTank;ReliefValve"
"fixtures/corpus/component-hydraulic-speed-driven-pump-delivers-flow-against-an-orifice-load.frees","true","ss;HydraulicOrifice;HydraulicPump;HydraulicSupply;HydraulicTank;MechGround;SpeedSource"
"fixtures/corpus/component-machinery-pmsm-delivers-torque-proportional-to-current.frees","true","Ground;MechGround;PMSM;RotationalDamper;VoltageSource"
"fixtures/corpus/component-machinery-turbocharger-balances-turbine-and-compressor-power-to-set-boost.frees","true","Turbocharger"
"fixtures/corpus/component-map-fan-map-reads-pressure-rise-from-tabulated-curve.frees","true","FanCurve;FanMap"
"fixtures/corpus/component-map-string-param-bakes-as-table-call-name.frees","true",""
"fixtures/corpus/component-mechanical-gear-trades-speed-for-torque-and-conserves-power.frees","true","Gear;MechGround;RotationalDamper;TorqueSource"
"fixtures/corpus/component-mechanical-planetary-gear-with-held-ring-reduces-speed-and-amplifies-torque.frees","true","MechGround;Planetary;RotationalDamper;TorqueSource"
